Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
1983,72,Documentary,7.8,57,Mani Kaul,Fariduddin Dagar,Zia Mohiyuddin Dagar,Unknown
1933,131,Unknown,6.0,35,Jyotish Bannerjee,Chanda,Jehanara Kajjan,Unknown
1938,131,Unknown,6.0,35,K.P. Bhave,Unknown,Unknown,Unknown
1989,147,"Action, Drama",8.1,90,Y. Nageswara Rao,Mohan Babu,Brahmanandam,Venkatesh Daggubati
1953,131,Mystery,6.0,35,Roshan Lal Malhotra,Pratima Devi,Jeevan,Usha Kiran
2013,131,Romance,6.0,35,Mrunalini Patil Dayall,Rati Agnihotri,Raj Babbar,Amitabh Dayal
1981,152,Drama,7.2,78,Dulal Guha,Rakhee Gulzar,Mithun Chakraborty,Ranjeeta Kaur
1994,131,Action,6.0,35,Nazir Herekar,Arjun,Arun Bakshi,Nazir Herekar
1974,131,"Drama, Romance",6.0,35,Kishore Sahu,Ramesh Aurora,Parveen Babi,Urmila Bhatt
2019,131,Drama,6.0,35,Nandlal Nayak,Subrat Dutta,Rajesh Jais,Chandra Shekhar Dutta
2002,139,"Action, Drama, Family",6.9,58,M.S. Ramesh,Sudeep,Rakshitha,Srinath
1996,131,Musical,6.0,35,Mahesh Bhatt,Talat Aziz,Suhas Bhalekar,Sangeeta Bijlani
1973,130,"Drama, Mystery, Thriller",7.2,529,B.R. Chopra,Navin Nischol,Zeenat Aman,Sanjay Khan
2003,153,"Adventure, Horror, Mystery",2.4,247,Shyam Ramsay,Amar Upadhyay,Aditi Govitrikar,Apoorva Agnihotri
2021,131,Horror,6.0,35,Unknown,Unknown,Unknown,Unknown
2015,92,Family,6.0,35,Amit Ojha,Zaidaan Khan,Mradul Ojha,Muskaan Ojha
2019,106,"Biography, Crime, Drama",8.9,47,Snehashish Mondal,Soumi Saha,Arpita Banerjee,Ritwik Bhowmik
1935,131,Unknown,6.0,35,Sumumar Chatterjee,Leela Chitnis,Nana Palsikar,Bhargava
2021,131,Romance,6.0,35,Trinayan Sharma,Shaziya Lala,Jageshwar Banvariya,Shaikh Umiya
1982,145,"Action, Crime, Drama",6.1,17,S. Ramanathan,Ashok Kumar,Vinod Mehra,Bindiya Goswami
2001,131,"Crime, Mystery",6.0,35,Inayat Mahshar,Aryan,Amar,Pinky Chinoy
1991,131,Unknown,6.0,35,Unknown,Unknown,Unknown,Unknown
1961,131,Action,6.0,35,Chitra,Ranjan Kapoor,Arvind Kumar,Madhumati
1940,155,"Action, Adventure",6.1,31,Homi Wadia,Fearless Nadia,Radharani,Nazira
2002,77,Unknown,6.0,35,Nagesh Narayan,Akhila,Prathapachandran,Reshma
2020,72,Drama,6.0,35,Priya Dutta,Moumita Sanyal,Unknown,Unknown
2012,97,Drama,3.6,88,Vinod Mukhi,Udita Goswami,Sofia Hayat,Ronny Jhutti
2013,72,Drama,6.0,35,Prashant Sehgal,Sakshi Oberoi Bahadur,Unknown,Unknown
1991,131,Horror,6.0,35,Vicky Ranawat,Unknown,Unknown,Unknown
1948,131,"Drama, Musical",6.0,35,Mukund Masurekar,Ranjana,Shobha Rani,Ghanshyam
1959,131,Drama,8.0,32,K. Narayan Kale,Sunil Dutt,Shubha Khote,Feroz Khan
1989,59,"Drama, Family",7.6,7,Tapan Sinha,Gyanesh Mukherjee,Deepti Naval,Ritesh Talwar
2021,87,Drama,6.0,35,Nidhi Patel,Pooja Patel,Vaibhav Bhatt,Bhagvad Nayak
1991,120,Drama,7.0,170,Arun Kaul,Sulabha Arya,Vijay Kashyap,Anubhav Mishra
1990,172,"Comedy, Drama, Romance",6.7,35,Indra Kumar,Aamir Khan,Madhuri Dixit,Saeed Jaffrey
1946,131,Romance,6.0,35,S.F. Hasnain,Ameena,Geeta Bose,Noor Jehan
2001,131,Romance,6.0,35,T.L.V. Prasad,Ayub Khan,Reema Lagoo,Alok Nath
1992,164,"Drama, Romance",5.0,35,Hema Malini,Jeetendra,Mithun Chakraborty,Dimple Kapadia
1993,129,Romance,6.0,35,K. Vinod,Saahil Chadha,Neelima Azim,Anchana
1960,131,"Musical, Romance",6.6,125,Kishore Sahu,Raaj Kumar,Meena Kumari,Nadira
1978,156,"Action, Crime, Drama",5.5,30,K. Bapaiah,Jeetendra,Moushumi Chatterjee,Rakesh Roshan
1968,137,Action,6.1,20,Anand Dutta,Ashok Kumar,Joy Mukherjee,Sharmila Tagore
1977,131,"Action, Romance",6.0,35,Kanak Mishra,Sanjeev Kumar,Meena Sharma,Yogeeta Bali
2020,101,"Comedy, Drama, Romance",6.6,35,Mukesh Chhabra,Sushant Singh Rajput,Sanjana Sanghi,Sahil Vaid
2004,131,"Comedy, Romance",5.4,53,Onkar Nath Mishra,Vikaas Kalantari,Aslam Khan,Divya Palat
2014,131,Action,5.5,11,Jagdish Sidana,Ayesha Jhulka,Kader Khan,Anil Kochar
1960,131,"Drama, Romance",6.8,32,Arjun Hingorani,Balraj Sahni,Kumkum,Sushil
2009,148,"Comedy, Drama, Romance",4.6,35,Anurag Singh,Shahid Kapoor,Rani Mukerji,Anupam Kher
1991,131,"Adventure, Comedy, Mystery",6.0,35,Jakee Patel,Rahul Dev,Mukul Dev,Dinesh Lamba
2001,183,"Comedy, Drama, Romance",8.1,35,Farhan Akhtar,Aamir Khan,Saif Ali Khan,Akshaye Khanna
2002,131,Romance,6.0,35,Bindiya Mohapatra,Tinnu Anand,Arjun,Asrani
1972,131,"Comedy, Drama",6.8,56,Prem Narayan Arora,Rajesh Khanna,Sadhana,Ashok Kumar
1959,187,"Musical, Romance",7.0,146,Nasir Hussain,Shammi Kapoor,Asha Parekh,Sulochana Latkar
2015,170,"Comedy, Drama, Romance",6.9,35,Zoya Akhtar,Anil Kapoor,Shefali Shah,Priyanka Chopra Jonas
1974,134,"Comedy, Romance",6.2,33,Narendra Bedi,Randhir Kapoor,Jaya Bachchan,Satyendra Kapoor
1966,169,"Drama, Musical, Romance",6.4,119,Abdul Rashid Kardar,Dilip Kumar,Dilip Kumar,Waheeda Rehman
2006,121,"Drama, Romance, Thriller",3.5,473,Aditya Datt,Emraan Hashmi,Ashmit Patel,Geeta Basra
2007,112,"Comedy, Crime, Drama",7.0,35,Manish Tiwary,Imaaduddin Shah,Shreyas Talpade,Smriti Mishra
1978,131,Romance,6.0,35,Unknown,Unknown,Unknown,Unknown
1963,148,"Drama, Musical, Romance",6.7,129,C.V. Sridhar,Meena Kumari,Rajendra Kumar,Raaj Kumar
1985,131,Romance,6.0,35,R.K. Munir,Savita Bajaj,Sadia Dehlvi,Rumi Jaffery
1937,131,Unknown,6.0,35,D.N. Madhok,Ishwarlal,Unknown,Unknown
1993,157,"Action, Drama, Romance",3.1,114,K.C. Bokadia,Vivek Mushran,Ajay Devgn,Pratibha Sinha
1991,154,"Adventure, Comedy, Drama",7.3,35,Mahesh Bhatt,Aamir Khan,Pooja Bhatt,Anupam Kher
2002,185,"Drama, Romance",5.3,35,Kundan Shah,Arjun Rampal,Preity Zinta,Mahima Chaudhry
1982,131,"Drama, Romance",3.6,5,Desh Gautam,Manju Bhatia,Dhumal,Iftekhar
1963,128,"Comedy, Drama, Romance",7.1,122,C.L. Rawal,P.L. Santoshi,Raj Kapoor,Nutan
1992,164,"Drama, Romance",5.1,102,Asrani,Divya Bharti,Gulshan Grover,Amjad Khan
2005,144,"Drama, Romance",4.6,332,Romesh Sharma,Amitabh Bachchan,Revathi,Karan Sharma
2017,130,Romance,5.3,103,Naresh Lalwani,Himansh Kohli,Priya Banerjee,Bhuvnesh Mann
2018,124,"Comedy, Romance",3.7,417,Aleya Sen,Taapsee Pannu,Saqib Saleem,Nidhi Singh
1936,131,Unknown,6.0,35,D.N. Madhok,Ishwarlal,Unknown,Unknown
1995,131,Comedy,3.5,21,Avtar Bhogal,Anupam Kher,Mahmud Babai,Nimai Bali
1992,157,"Musical, Romance",5.7,191,Lawrence D'Souza,Prithvi,Divya Bharti,Sanam
1972,131,"Comedy, Drama",5.6,13,P. Madhavan,Ajit,Indrani Mukherjee,Master Anil
2003,150,"Drama, Musical, Romance",4.8,35,Naresh Malhotra,Arjun Rampal,Aishwarya Rai Bachchan,Priyanshu Chatterjee
1982,131,Romance,6.7,18,N. Sankaran Nair,Kamal Haasan,Zarina Wahab,Unknown
2014,136,"Action, Crime, Drama",5.3,6,Lalji B. Yadav,Dilip Tadeshwar,Rakhi Sawant,Donny Kapoor
1979,131,Drama,6.6,29,Dulal Guha,Dharmendra,Hema Malini,Abhi Bhattacharya
2008,120,"Comedy, Drama",5.7,653,Anil Senior,Irrfan Khan,Rahul Bose,Rahul Khanna
1997,131,"Musical, Romance",3.8,28,Ashim Bhattacharya,Aparajita,Vikas Bhalla,Chandrashekhar
2005,110,"Drama, Thriller",4.9,12,Gopal Malhotra,Ashutosh Rana,Divya Dutta,Abbas
1944,131,Comedy,6.0,35,Pralhad Keshav Atre,Durga Khote,Ishwarlal,Dixit
1993,162,"Action, Drama",5.3,494,Anil Ganguly,Rakhee Gulzar,Avinash Wadhawan,Akshay Kumar
1949,131,Unknown,6.0,35,Waheed Qureshi,Masood,Lalita Pawar,Nigar Sultana
2005,131,Romance,6.0,35,Prabu Solomon,Suchindra Bali,Sonali Bendre,Arjun Sarja
2000,131,"Drama, Romance",6.0,35,Rambha,Unknown,Unknown,Unknown
1949,131,"Comedy, Drama, Music",6.0,35,Geeta Bali,Mazhar Khan,Madan Puri,Unknown
1935,131,Unknown,6.0,35,Sorabji Kerawala,Mukhtar Begum,Surajram,Unknown
1993,131,Romance,6.0,35,Unknown,Unknown,Unknown,Unknown
1973,131,"Drama, Family",7.3,6,B.R. Ishara,Rakesh Pandey,Rehana Sultan,Sulochana Latkar
1997,131,"Drama, Musical, Romance",5.8,24,Ravi Rai,Raja Bherwani,Raageshwari,Kiran Kumar
1999,158,"Drama, Musical, Romance",5.1,35,Prakash Jha,Ajay Devgn,Mahima Chaudhry,Kajol
1989,131,"Drama, Romance",4.4,10,Krishna Ghattamaneni,Sridevi,Unknown,Unknown
2018,131,Romance,6.0,35,Sumeet Chawla,Bikramjeet Kanwarpal,Ramandeep Kaur,Ibra Khan
2004,123,"Musical, Romance",5.2,35,Ananth Narayan Mahadevan,Shahid Kapoor,Ayesha Takia,Tulip Joshi
2002,131,Romance,6.0,35,Unknown,Unknown,Unknown,Unknown
1992,131,Romance,6.0,35,Partho Ghosh,Suparna Anand,Ravi Behl,Rita Bhaduri
2004,135,"Drama, Romance",4.4,35,Atul Agnihotri,Salman Khan,Preity Zinta,Bhoomika Chawla
2001,131,"Drama, Musical, Romance",3.3,106,Rajat Rawail,Govinda,Tabu,Faraaz Khan
1966,131,"Drama, Romance",5.8,60,C.L. Rawal,Nutan,Dharmendra,Rehman
1967,173,"Drama, Romance",7.0,28,Mohan J. Bijlani,Shashi Kapoor,Sanjay Khan,Rajshree
2003,150,"Romance, Drama",4.8,91,Saawan Kumar Tak,Kapil Jhaveri,Saloni Aswani,Amrish Puri
2000,148,Drama,5.0,213,Hansal Mehta,Manoj Bajpayee,Tabu,Saurabh Shukla
2016,110,Romance,5.0,21,Sushikailash,Shagufta Ali,Hrishitaa Bhatt,Avtar Gill
1978,131,Romance,4.3,11,Bhisham Kohli,Bhisham Kohli,Shyamalee,Om Shivpuri
2006,131,Drama,6.7,14,Shrirang Dhhavale,Aditya Srivastav,Vani Tripathi,Rohitash Gaud
2003,131,Romance,6.0,35,Dinesh Hingoo,Anu Kashyap,Meghna,Raza Murad
1998,163,"Drama, Romance",7.6,35,Mani Ratnam,Shah Rukh Khan,Manisha Koirala,Preity Zinta
1993,151,"Comedy, Drama, Romance",5.1,720,Lawrence D'Souza,Madhuri Dixit,Salman Khan,Kader Khan
1962,150,"Comedy, Romance",7.0,94,B. Ramakrishnaiah Panthulu,Shammi Kapoor,Mala Sinha,Mehmood
1996,139,"Drama, Mystery",5.0,185,Lawrence D'Souza,Saif Ali Khan,Twinkle Khanna,Shatrughan Sinha
1997,180,"Comedy, Drama, Musical",7.0,35,Yash Chopra,Shah Rukh Khan,Madhuri Dixit,Karisma Kapoor
2011,143,"Comedy, Drama, Romance",5.8,35,Madhur Bhandarkar,Ajay Devgn,Emraan Hashmi,Omi Vaidya
2016,135,"Drama, Romance",6.5,17,Raja Bundela,Zeenat Aman,Raj Babbar,Meenu Bhardwaj
1987,127,Romance,5.0,22,Rakesh Kumar,Kumar Gaurav,Rati Agnihotri,Mala Sinha
2002,150,"Drama, Musical, Romance",5.3,454,Ananth Narayan Mahadevan,Madhavan,Jimmy Sheirgill,Sanjay Suri
1982,216,Drama,5.5,15,Esmayeel Shroff,Rakhee Gulzar,Parveen Babi,Naseeruddin Shah
1934,131,Unknown,6.0,35,Jagatrai Pesumal Advani,Sardar Akhtar,Bala Bhai,Gidwani
1936,131,Unknown,6.0,35,Mohan Dayaram Bhavnani,Motilal,Unknown,Unknown
1984,131,"Action, Romance",6.0,35,Ramesh Bedi,Danny Denzongpa,Avtar Gill,Bharat Kapoor
1966,131,Action,6.0,35,Harish Khatri,Randhawa,Saroja Rani,Tiwari
1994,138,"Drama, Romance",3.8,21,B. Krishna Rao,Mamta Kulkarni,Rishikesh Raj,Nawaz Khan
2021,131,Romance,6.0,35,Guddu,Shamas Durrani,Brij Gopal,Raman Gupta
1977,165,"Action, Comedy, Drama",4.5,18,K. Bapaiah,Jeetendra,Rekha,Sujit Kumar
1947,131,Unknown,6.0,35,Radha,Unknown,Unknown,Unknown
1982,131,"Drama, Romance",6.3,37,C.V. Sridhar,Rajesh Khanna,Jaya Prada,Shatrughan Sinha
1953,142,Romance,6.7,10,Abdul Rashid Kardar,Talat Mahmood,Shyama,Shyam Kumar
1979,131,Action,6.4,9,K.S.R. Das,Rajinikanth,Kavita,Vishnuvardhan
1981,117,Drama,6.0,35,Vadiraj,Baby Anuradha,Srikanth,Unknown
1957,131,Unknown,6.0,35,Noshir Engineer,John Cawas,Chanda,Vijaya Choudhury
1948,131,Action,6.0,35,Mohammed Hussain,M.H. Douglas,Rajkumari,Arvind Kumar
1960,131,Action,6.0,35,Amarnath,Master Bhagwan,Manju,Unknown
1968,131,Action,6.0,35,Unknown,Unknown,Unknown,Unknown
1987,140,"Action, Drama",5.1,23,Bapu,Jackie Shroff,Farha Naaz,Tanuja
1996,159,"Action, Drama, Romance",5.8,35,Harry Baweja,Ajay Devgn,Sonali Bendre,Amrish Puri
1935,131,Unknown,6.0,35,Charu Roy,Leela,Sheela,Unknown
1947,130,"Comedy, Romance",7.4,64,Mohan Sinha,Raj Kapoor,Madhubala,Shyam Sunder
1942,131,Unknown,6.0,35,Balwant Bhatt,Agha,Kumar,Sushil Kumar
1978,131,"Comedy, Romance",6.9,206,Basu Chatterjee,Dharmendra,Hema Malini,Mithu Mukherjee
1999,188,"Drama, Musical, Romance",5.3,35,Sunny Deol,Sunny Deol,Bobby Deol,Urmila Matondkar
1966,146,"Comedy, Drama, Romance",6.3,18,S.N. Banerjee,Mala Sinha,Sanjay Khan,Nazima
2013,131,Thriller,6.0,35,Ashish Tyagi,Darshan Jariwala,Neena Kulkarni,Asif Basra
1992,131,Action,6.0,35,R S Tara,Jeevan Kala,Leela Mishra,Sheikh Mukhtar
1962,131,Action,6.0,35,R S Tara,Jeevan Kala,Leela Mishra,Sheikh Mukhtar
1958,131,"Action, Comedy, Crime",6.8,56,S.D. Narang,Kishore Kumar,Nutan,Amar
2021,131,Drama,6.0,35,Kritik Kumar,Preetika Chauhan,Kashvi Kanchan,Virendra Saxena
2015,121,"Comedy, Drama",3.7,176,Japinder Kaur Baweja,Ira Dubey,Natalia Kapchuk,Vijay Meenu
2020,131,Drama,6.0,35,Ranveer Pratap Singh,Garima Agarwal,Unknown,Unknown
1991,131,Family,6.0,35,Puneet Prakash,Rajesh Sharma,Sheetal Thakur,Rahul Dev
1967,131,Unknown,6.0,35,Mohammed Hussain,Ajit,Helen,Shyam Kumar
1950,123,"Crime, Drama, Mystery",7.1,30,Dwarka Khosla,Rehana,Dev Anand,Cuckoo
1987,131,Action,6.0,35,S.R. Pratap,Hemant Birje,Deva,Krishna
1986,160,"Action, Comedy, Drama",3.7,35,K. Muralimohana Rao,Mithun Chakraborty,Smita Patil,Meenakshi Sheshadri
1994,172,"Action, Drama, Romance",5.7,35,Harry Baweja,Ajay Devgn,Sunil Shetty,Raveena Tandon
2015,158,"Action, Comedy, Drama",5.1,35,Rohit Shetty,Shah Rukh Khan,Kajol,Varun Dhawan
1995,181,"Drama, Romance",8.1,35,Aditya Chopra,Shah Rukh Khan,Kajol,Amrish Puri
1980,120,Romance,7.2,58,Rajendra Singh 'Atish',Beena Banerjee,Desh Gautam,Tariq Shah
1992,131,Romance,3.5,13,V. Menon,Rahul Roy,Prithvi,Nagma
1951,131,Unknown,6.0,35,Agha,Unknown,Unknown,Unknown
2019,63,Drama,6.0,35,Daksh Pandya,Pratik Gandhi,Deeksha Joshi,Jayesh More
1975,131,Romance,6.0,35,Vijay Singh,Satish Kaul,Rita Bhaduri,Bharat Bhushan
1990,131,"Action, Crime, Drama",6.0,35,Yash Chouhan,Vikram Gokhale,Goga Kapoor,Anil Kochar
2015,131,Animation,6.0,35,Sidheswar Shukla,Unknown,Unknown,Unknown
1940,131,"Action, Fantasy",6.0,35,Nanubhai Vakil,Sarojini,Bacha,Baby Indira
2016,130,"Action, Comedy, Romance",4.0,66,Rajiv S. Ruia,Rajniesh Duggall,Nidhi Subbaiah,Arjun Bijlani
2020,60,"Mystery, Romance, Thriller",6.0,35,Anurag Jha,Aishwarya Bawne,Dhairya Gupta,Anurag Jha
1947,131,"Drama, Family",6.0,35,Unknown,Unknown,Unknown,Unknown
2016,127,"Comedy, Romance",6.0,35,Kesar Matharu,Shreya Chawla,Archi Kapoor,Mushtaq Khan
2014,82,Romance,6.0,35,Priyanka,Vipul Bhatt,Savi Bishta,Preet Kaur Madhan
2018,65,Drama,6.0,35,Raj,Mamta Nigam,Pramod,Rekha
2015,130,Drama,2.5,575,K.C. Bokadia,Anupam Kher,Atul Kulkarni,Awdhesh Mishra
1982,135,"Drama, Musical, Romance",6.4,35,Babbar Subhash,Mithun Chakraborty,Kim,Kalpana Iyer
2015,131,Comedy,6.0,35,Sajit Warrier,Rajat Barmecha,Adam Bedi,Lakshmi R. Iyer
1990,135,"Comedy, Drama, Musical",7.0,145,Sai Paranjape,Shabana Azmi,Nana Patekar,Raghuvir Yadav
2014,119,"Action, Thriller",5.2,986,Sanamjit Singh Talwar,Harman Baweja,Harsh Chhaya,Sunny Deol
2016,124,"Action, Adventure, Comedy",5.1,35,Rohit Dhawan,John Abraham,Varun Dhawan,Jacqueline Fernandez
2016,54,"Action, Adventure, Crime",6.0,35,Roger Slagle,Devi Singh Rajput,Darryll Alvey,Pranith Andole
1991,131,Romance,6.0,35,Sai Kabir,Zareen Khan,Unknown,Unknown
1935,131,Unknown,6.0,35,Rose,Unknown,Unknown,Unknown
2002,131,History,4.2,8,Ashok Kumar,Mamta Kulkarni,Sadhika,Mink Singh
1984,133,"Romance, Drama",5.7,7,N.D. Kothari,Sharmila Tagore,Girish Karnad,Vijayendra Ghatge
2005,140,Unknown,5.3,10,M J Ramanan,Mandira Bedi,Tannishtha Chatterjee,Snehal Dabi
2002,120,Drama,6.0,35,Sidharth Srinivasan,Prasad Athalye,Dibyendu Bhattacharya,Veerendra Chauhan
1993,180,"Action, Drama",3.8,199,Sameer Malkan,Ajay Devgn,Raveena Tandon,Satyendra Kapoor
1940,131,Unknown,6.0,35,Jayant Desai,Madhuri,Motilal,Vasanti
1956,131,Unknown,6.0,35,Arjun Hingorani,Dharam Kumar,Talat Mahmood,Roopmala
2003,131,Action,3.1,13,Jasper,Sarath Kumar,Kiran Rathod,Sharmilee
1967,171,"Drama, Romance",6.9,117,Mahesh Kaul,Raj Kapoor,Saira Banu,Lalita Pawar
1997,131,Romance,6.0,35,K.R. Reddy,Poonam Dhillon,Govinda,Kimi Katkar
2010,131,Romance,6.0,35,Jiten Purohit,Chandni Chopra,Suumeet Darshan,Deep Dhillon
1934,131,Unknown,6.0,35,D.N. Madhok,Unknown,Unknown,Unknown
1947,131,Unknown,6.0,35,Chanda,Unknown,Unknown,Unknown
1992,131,Romance,6.0,35,M.A. Asravi,Yunus Parvez,Upasna Singh,Ajit Vachani
1995,131,"Action, Drama, Thriller",4.2,54,K. Bapaiah,Mithun Chakraborty,Madhoo,Maya Alagh
1991,131,Comedy,6.0,35,Sandeep Nath,Raayo S. Bakhirta,Inaamulhaq,Sanjay Mishra
2017,131,Romance,6.0,35,Amit Kasaria,Gulki Joshi,Adhyayan Suman,Yuri Suri
1960,131,Unknown,6.0,35,Dwarka Khosla,Paidi Jairaj,Shashikala,Kumud Tripathi
1974,131,"Drama, Family",6.0,35,Ajoy Biswas,Rekha,Biswajit Chatterjee,Deb Mukherjee
1976,155,Drama,6.9,421,Dulal Guha,Amitabh Bachchan,Rekha,Prem Chopra
1957,143,"Comedy, Crime, Drama",8.4,35,Shantaram Rajaram Vankudre,Shantaram Rajaram Vankudre,Sandhya,Ulhas
1997,131,Drama,4.2,62,Kirti Kumar,Arman Khan Achakzai,Ishrat Ali,Sadashiv Amrapurkar
1980,132,"Action, Comedy, Drama",7.0,954,Rakesh Kumar,Shashi Kapoor,Amitabh Bachchan,Hema Malini
1937,131,Unknown,6.0,35,Moti B. Gidwani,S. Ahmed,Rafiq Ghaznavi,Padmadevi
1949,131,Unknown,6.0,35,Harnam Singh Rawail,Ramola,Maya Banerjee,Narang
1972,124,Drama,6.0,35,Kalpataru,Anupama,Subhash Ghai,Baby Pinky
1966,131,"Family, Romance",7.3,92,Raj Khosla,Asha Parekh,Manoj Kumar,Simi Garewal
1932,131,Unknown,6.0,35,Jayant Desai,Dixit,Ghori,Shantakumari
1959,131,"Drama, Romance",5.5,15,Kedar Kapoor,Shyama,Rajendra Kumar,Chand Usmani
1947,131,"Drama, Family",6.0,35,Munshi Dil,Ulhas,Noor Jehan,Tiwari
1961,131,"Drama, Family",6.0,35,Vishram Bedekar,Abhi Bhattacharya,Anil Kumar,Sulochana Latkar
1969,150,"Action, Crime, Drama",6.2,34,Brij,Ashok Kumar,Mala Sinha,Jeetendra
1994,131,Unknown,4.8,12,Juhi Chawla,Unknown,Unknown,Unknown
1953,131,Drama,8.4,35,Bimal Roy,Balraj Sahni,Nirupa Roy,Ratan Kumar
1971,141,"Action, Drama",6.3,15,Khwaja Ahmad Abbas,Jalal Agha,Simi Garewal,Kiran Kumar
1974,131,Action,6.0,35,G.H. Sarin,Vikram Makandar,Rakesh Pandey,Joginder Shelly
1977,131,"Drama, Family",3.5,6,Kewal Misra,Dharmendra,Veerendra,Aruna Irani
2015,120,Action,5.3,20,Ashok Gaekwad,Krishna Abhishek,Mohnish Bahl,Negar Khan
1966,131,Romance,6.4,27,Hrishikesh Mukherjee,Biswajit Chatterjee,Mumtaz,Rajshree
1947,131,"Drama, Family",6.0,35,Jagdish Sethi,Karan Dewan,Motilal,Badri Prasad
1981,131,Romance,6.5,15,C.V. Rajendran,Kamal Haasan,Rati Agnihotri,Unni Mary
2010,131,"Comedy, Drama, Romance",5.5,35,Akash Pandey,Rajesh Khanna,Annu Kapoor,Nausheen Ali Sardar
1966,153,Romance,6.0,35,Pradeep Kumar,Pradeep Kumar,Vyjayanthimala,Rehman
1985,131,Romance,5.1,26,A.C. Trilogchander,Sanjay Dutt,Padmini Kolhapure,Shakti Kapoor
1993,131,Romance,6.0,35,Suraj Prakash,Unknown,Unknown,Unknown
1977,131,Romance,6.0,35,Mahmood,Mehmood,Mohan Choti,Som Dutt
1982,149,"Drama, Romance",6.0,20,Dulal Guha,Dharmendra,Shreeram Lagoo,Nirupa Roy
1936,171,Unknown,6.0,35,Chimanlal Luhar,Shobhna Samarth,Motilal,Lala Yaqoob
2010,112,"Comedy, Drama",7.5,35,Habib Faisal,Rishi Kapoor,Neetu Singh,Aditi Vasudev
1968,135,"Comedy, Drama",7.2,66,Debu Sen,Kishore Kumar,Asit Kumar Sen,Surekha
1960,131,"Drama, Family",6.0,35,K. Anand,Chitra,Mehmood,Helen
1955,131,Drama,6.0,35,Mahadevan K.J.,David Abraham,Agha,Kanhaiya
1967,131,"Action, Adventure, Drama",6.0,35,Mohammed Hussain,Dara Singh,Mumtaz,Unknown
1994,131,Comedy,2.7,11,Sikander Bharti,Veerendra,Sadashiv Amrapurkar,Vikas Anand
1972,127,Horror,6.1,88,Tulsi Ramsay,Surendra Kumar,Pooja,Imtiaz
1935,153,Unknown,5.4,5,Homi Master,Ruby Mayer,Dinshaw Bilimoria,Jillo
1983,131,"Drama, Romance",6.8,5,Durai,Vijay Arora,Rakesh Bedi,Dilip Dhawan
1959,131,"Action, Crime",6.0,35,Ajit,Jayshree Gadkar,Daisy Irani,Raaj Kumar
1982,131,Action,6.0,35,Ravi Tandon,Shashi Kapoor,Padma Khanna,Pran
1974,131,Action,6.0,35,Raj Babu,Ram Krishna Rao,Tyagraj,Unknown
1992,131,Romance,6.0,35,Anup Malik,Beena Bannerjee,Kanchan,Anupam Kher
1979,131,Drama,5.9,15,Kedar Kapoor,Asrani,Zarina Wahab,Jagdeep
2020,131,Romance,6.0,35,Hammad Khan,Sheena Lakhani,Nishant Pandey,Unknown
1975,135,"Comedy, Mystery",6.1,100,Naresh Kumar,Raj Kapoor,Rajendra Kumar,Shailendra Singh
1975,131,Romance,5.8,9,Jitu Thakar,Vinod Mehra,Moushumi Chatterjee,Pran
1999,131,Romance,6.0,35,R.P. Swamy,Beena Banerjee,Manvi Goswami,Mohan Joshi
1974,131,Action,6.0,35,Jambulingam,Vijay Kumari,A.V.M. Rajan,Muttu Raman
1968,160,"Drama, Family, Musical",6.5,71,R. Krishnan,S. Panju,Mala Sinha,Biswajit Chatterjee
1948,131,Unknown,6.9,8,Raja Paranjpe,Badriprasad,Baby Bhate,Gopal Bokre
1976,134,Drama,6.0,35,Jugal Kishore,Vinod Mehra,Zaheera,Shashi Puri
1983,131,Drama,6.0,35,Kavi Raz,Alka,Sukhbir Kang,Kavi Raz
2009,126,"Comedy, Drama",3.6,35,David Dhawan,Govinda,Sushmita Sen,Riteish Deshmukh
1979,131,"Comedy, Crime",6.0,111,Basu Chatterjee,Navin Nischol,Amol Palekar,Moushumi Chatterjee
1976,131,Drama,6.0,35,Kolli Pratyagatma,Sanjeev Kumar,Mala Sinha,Tarun Bose
2016,128,"Action, Drama, Romance",6.5,35,Deepak Tijori,Kajal Aggarwal,Anil George,Randeep Hooda
1958,131,Comedy,6.0,35,Tara Harish,Nisar Ahmad Ansari,Geeta Bali,Moti Lal
1991,131,Action,3.2,32,Ajay Kashyap,Sanjay Dutt,Sonam,Chunky Panday
1966,131,Action,6.0,35,Kamran,Helen,Kamran,Madhumati
1978,147,"Drama, Family, Romance",7.1,22,Devendra Goel,Shashi Kapoor,Rekha,Ashok Kumar
1947,131,Unknown,6.0,35,Suraiya,Unknown,Unknown,Unknown
1974,136,"Crime, Drama",7.2,5,P.D. Shenoy,Asha Sachdev,Sajid Khan,A.K. Hangal
1998,139,Action,3.8,24,T.L.V. Prasad,Mithun Chakraborty,Sneha,Sadashiv Amrapurkar
1944,131,Unknown,6.0,35,Harbans,Sheela,Unknown,Unknown
2009,131,Drama,6.4,172,Deepti Naval,Rajit Kapoor,Manisha Koirala,Sanaj Naval
1991,131,Romance,6.0,35,Ravi Rai,Akshay Anand,Anupam Kher,Mushtaq Merchant
1958,161,"Drama, Family",6.0,7,Abdul Rashid Kardar,Kumari Naaz,Master Romi,Vijaya Choudhury
1974,140,"Action, Comedy, Drama",6.7,59,S. Ramanathan,Ashok Kumar,Vinod Mehra,Aruna Irani
